NCCP's Family Resource Simulator: KY 2020 (nccp.org/tools/frs).
Output Generated Mon May 18 13:38:40 2020.  Results reflect user choices.

Federal Earned Income Tax Credit,State Earned Income Tax Credit,State Child and Dependent Care Tax Credit (nonrefundable),Earnings,Net Resources,Child Support,TANF,SNAP/Food Stamps,Fed Tax Credits,State Tax Credits,Local Tax Credits,Public Health Insurance Premiums,Premium Tax Credit,Health Insurance,Child Care,Transportation,Housing,Food,Family Foodcost,Lifeline Subsidy,Other Necessities,Debt Payment,Payroll Tax,Tax Excluding Credits,Tax Including Credits,Fed Gross Tax,Federal EITC,Child Tax Credit,Federal Child and Dependent Care Tax Credit,Fed CADC,State Gross Tax,State EITC,State Child Care Tax Credit,Parent's Health Coverage,1st Child's Health Coverage,2nd Child's Health Coverage,3rd Child's Health Coverage,4th Child's Health Coverage,5th Child's Health Coverage,Interest from Savings,WIC,Afterschool costs,Disability personal and work expenses,Sales Tax,Savings from free or reduced-price meals for children,SSI,Savings from LIHEAP,Savings from DC's Utility Discount Program,
1,0,1,0,-3027.49568833025,0,3144,6108,0,0,0,0,0,300,0,0,616.2,5675.28787531228,7016.94,111,5366.04510662073,0,0,0,0,0,0,0,1,0,0,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,1000,-3663.65568833025,0,3144,6108,400,0,0,0,0,300,2083.96,104,375.4,5675.28787531228,7016.94,111,5366.04510662073,0,76.5,12.5,-387.5,0,400,0,1,0,0,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,2000,-2693.14768833025,0,2965.6,6108,800,0,0,0,0,300,2083.96,104,537.492,5675.28787531228,7016.94,111,5366.04510662073,0,153,25,-775,0,800,0,1,0,0,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,3000,-1992.14768833025,0,2415.6,6108,1275,20.5,0,0,0,300,2083.96,104,672.492,5675.28787531228,7016.94,111,5366.04510662073,0,229.5,58,-1237.5,0,1200,75,1,0,20.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,4000,-2186.21568833025,0,1865.6,6108,1825,70.5,0,0,0,300,3313.96,104,547.56,5675.28787531228,7016.94,111,5366.04510662073,0,306,120.5,-1775,0,1600,225,1,0,70.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,5000,-3607.66568833025,0,1315.6,6108,2375,120.5,0,0,0,300,5497.41,208,592.56,5675.28787531228,7016.94,111,5366.04510662073,0,382.5,183,-2312.5,0,2000,375,1,0,120.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,6000,-2741.66568833025,0,765.6,6108,2925,170.5,0,0,0,300,5497.41,208,637.56,5675.28787531228,7016.94,111,5366.04510662073,0,459,245.5,-2850,0,2400,525,1,0,170.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,7000,-1875.66568833025,0,215.6,6108,3475,220.5,0,0,0,300,5497.41,208,682.56,5675.28787531228,7016.94,111,5366.04510662073,0,535.5,308,-3387.5,0,2800,675,1,0,220.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,39,0,
1,0,1,8000,797.334311669747,0,1645.6,6108,4025,270.5,0,0,0,300,5497.41,208,900.56,5675.28787531228,7016.94,111,5366.04510662073,0,612,370.5,-3925,0,3200,825,1,0,270.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,64,0,
1,0,1,9000,433.334311669747,0,1095.6,6108,4575,320.5,0,0,0,300,6727.41,208,945.56,5675.28787531228,7016.94,111,5366.04510662073,0,688.5,433,-4462.5,0,3600,975,1,0,320.5,0,0,Medicaid,Medicaid/CHIP,Medicaid/CHIP,NA,NA,NA,0,475.353873285543,0,0,321.962706397244,866.298251402177,0,64,0,
